Symbol,Description,Market Capitalization,Sector,Industry,Sub-Industry,Price,Index,Price Change YTD,Performance vs. S&P 500 YTD,Performance vs. Industry YTD,Total Return 1 Year
AAP,Advance Auto Parts Inc,$4B (Small),Consumer Discretionary,Specialty Retail,Automotive Retail,67.97,S&P 500,-53.77%,-58.89%,-53.79%,-62.28%
ZION,Zions Bancorporation NA,$4B (Small),Financials,Banks,Regional Banks,26.97,S&P 500,-45.14%,-50.00%,-30.79%,-49.86%
KEY,KeyCorp,$9B (Mid),Financials,Banks,Diversified Banks,9.56,S&P 500,-45.12%,-50.32%,-30.77%,-48.30%
NWL,Newell Brands Inc,$3B (Small),Consumer Discretionary,Household Durables,Housewares & Specialties,7.92,S&P 500,-39.45%,-45.54%,-68.31%,-61.11%
CMA,Comerica Inc,$5B (Small),Financials,Banks,Diversified Banks,40.85,S&P 500,-38.89%,-44.61%,-24.54%,-46.24%
ENPH,Enphase Energy Inc,$22B (Mid),Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,162.53,S&P 500,-38.66%,-44.24%,-101.82%,-10.94%
SCHW,Charles Schwab Corp,$97B (Large),Financials,Capital Markets,Investment Banking & Brokerage,53.21,S&P 500,-36.09%,-42.99%,-32.85%,-22.41%
CFG,Citizens Financial Group Inc,$13B (Mid),Financials,Banks,Regional Banks,26.07,S&P 500,-33.78%,-39.82%,-19.43%,-31.83%
EPAM,Epam Systems Inc,$13B (Mid),Information Technology,IT Services,IT Consulting & Other Services,218.35,S&P 500,-33.38%,-42.12%,-43.96%,-33.08%
MRNA,Moderna Inc,$46B (Large),Health Care,Biotechnology,Biotechnology,120.48,S&P 500,-32.93%,-40.72%,-23.91%,-15.98%
VFC,VF Corp,$7B (Small),Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",18.94,S&P 500,-31.40%,-39.06%,-27.40%,-59.32%
DG,Dollar General Corp,$38B (Mid),Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail,172.22,S&P 500,-30.06%,-40.34%,-34.07%,-20.54%
APA,APA Corp (US),$10B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,33.21,S&P 500,-28.86%,-35.55%,-18.43%,-28.74%
TFC,Truist Financial Corp,$41B (Mid),Financials,Banks,Regional Banks,30.61,S&P 500,-28.86%,-35.62%,-14.51%,-34.12%
AES,AES Corp,$14B (Mid),Utilities,Independent Power & Renewable Electricity Producers,Independent Power Producers & Energy Traders,20.91,S&P 500,-27.29%,-35.84%,-4.48%,-1.87%
HBAN,Huntington Bancshares Inc,$15B (Mid),Financials,Banks,Regional Banks,10.31,S&P 500,-26.88%,-33.63%,-12.53%,-19.19%
IFF,International Flavors & Fragrances Inc,$20B (Mid),Materials,Chemicals,Specialty Chemicals,77.23,S&P 500,-26.34%,-34.43%,-29.02%,-38.99%
USB,US Bancorp,$49B (Large),Financials,Banks,Diversified Banks,32.23,S&P 500,-26.09%,-32.58%,-11.74%,-34.79%
MET,MetLife Inc,$41B (Mid),Financials,Insurance,Life & Health Insurance,53.86,S&P 500,-25.58%,-33.71%,-22.49%,-16.62%
CVS,CVS Health Corp,$89B (Large),Health Care,Health Care Providers & Services,Health Care Services,69.41,S&P 500,-25.52%,-35.10%,-17.83%,-26.14%
OGN,Organon & Co,$5B (Small),Health Care,Pharmaceuticals,Pharmaceuticals,20.91,S&P 500,-25.13%,-34.54%,-23.39%,-42.08%
PFE,Pfizer Inc,$219B (Large),Health Care,Pharmaceuticals,Pharmaceuticals,38.73,S&P 500,-24.41%,-33.23%,-22.67%,-23.32%
WAT,Waters Corp,$15B (Mid),Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,260.27,S&P 500,-24.03%,-32.10%,-17.98%,-19.12%
ARE,Alexandria Real Estate Equities Inc,$19B (Mid),Real Estate,Office REITs,Office REITs,110.85,S&P 500,-23.90%,-31.65%,--,-29.92%
ETSY,ETSY Inc,$11B (Mid),Consumer Discretionary,Broadline Retail,Broadline Retail,92.14,S&P 500,-23.08%,-30.52%,-48.90%,13.84%
INCY,Incyte Corp,$14B (Mid),Health Care,Biotechnology,Biotechnology,61.91,S&P 500,-22.92%,-32.23%,-13.90%,-17.43%
BXP,Boston Properties Inc,$8B (Mid),Real Estate,Office REITs,Office REITs,52.30,S&P 500,-22.61%,-29.49%,--,-48.81%
DVN,Devon Energy Corp,$31B (Mid),Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,47.69,S&P 500,-22.47%,-30.03%,-12.04%,-31.56%
